nom_produit,prix,imageurl,subcategory,subsubcategory,shortdesc,largedesc
Haie en mousse GES,"75,60 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29237497.jpg?frz-v=95,Matériel de Course à pied,Haies Athlétisme,"Haie en mousse GES, idéale pour l'initiation au saut de haie, en toute sécurité.","Haie en mousse, idéale pour le milieu scolaire et notamment pour les écoles primaires. | Composé d'un antidérapant gris, pour une utilisation en toute sécurité. | Dimensions : | Longueur : 100 cm. | Largeur : base 24 cm. | Hauteur : 40 cm. | Coloris : dessus bleu, dessous gris. | Classée non feu M2"
Lot de 6 témoins relais PVC,"13,50 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG48946745.jpg?frz-v=95,Matériel de Course à pied,Accessoires Course Athlétisme,6 bâtons de relais en PVC. Idéal pour l'initiation à la course de relais.,"6 témoins de relais en PVC, facilitant sa prise en main et sa transmission lors de la course de relais. | Diamètre et longueur réglementaires : Longueur : 30cm. Diamètre: 35mm | Coloris assortis"
Latte de remplacement Dima pour haies EPS,"72,00 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29237410.jpg?frz-v=95,Matériel de Course à pied,Accessoires Course Athlétisme,Lot de 5 lattes de haies Dima idéal pour remplacer les lattes cassées,5 lattes en PVC blancs très résistant. | Idéal pour une pratique sportive en tout sécurité et confort. | Latte idéale pour haies E.P.S. et mini E.P.S. | Longueur : 1 m.
Haie d'athlétisme souple 23 cm,"3,85 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29280816.jpg?frz-v=95,Matériel de Course à pied,Haies Athlétisme,"Haie souple pour l'athlétisme, parfaite pour l'initiation",Haie en PVC souple pour éviter tout danger | Elle retrouve sa position d'origine automatiquement si un joueur marche dessus | Largeur: 46 cm | Hauteur: 23 cm
Haie d'athlétisme souple 30 cm,"4,70 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29298918.jpg?frz-v=95,Matériel de Course à pied,Haies Athlétisme,"Haie souple pour l'athlétisme, parfaite pour l'initiation",Haie en PVC souple pour éviter tout danger | Elle retrouve sa position d'origine automatiquement si un joueur marche dessus | Hauteur: 30 cm | Largeur: 46 cm
1700 épingles pour dossards,"41,90 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29287693.jpg?frz-v=95,Matériel de Course à pied,Accessoires Course Athlétisme,1700 épingles à nourrice de 3.50 cm adaptées aux dossards à distribuer lors de vos courses aux participants.,Épingle de sureté permettant d'attacher les dossard aux maillots de course de manière temporaire et rapide. | Permet une visibilité du dossard des coureurs lors de la compétition pour leur classement officiel.
Haie d'athlétisme souple 15 cm,"3,50 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29280815.jpg?frz-v=95,Matériel de Course à pied,Haies Athlétisme,"Haie souple pour l'athlétisme, parfaite pour l'initiation",Haie en PVC souple pour éviter tout danger | Elle retrouve sa position d'origine automatiquement si un joueur marche dessus | Hauteur: 15cm | Largeur: 46cm
Claquoir de départ en bois,"17,91 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29286569.jpg?frz-v=95,Matériel de Course à pied,Accessoires Course Athlétisme,"Petit claquoir en bois bruyant, parfait pour signaler les départs de courses ou de matches avec force.","Claquoir en bois de petite dimension, idéal pour de petites mains. | Claquoir avec un bruit très puissant."
Support de lattes en caoutchouc pour haies Dima EPS,"6,75 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29237407.jpg?frz-v=95,Matériel de Course à pied,Accessoires Course Athlétisme,Support de lattes en caoutchouc pour haies Dima EPS,Embout en caoutchouc pour fixation de latte pour haies EPS Dima.
Haies aluminium return mini 40-60cm,"93,00 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29298951.jpg?frz-v=95,Matériel de Course à pied,Haies Athlétisme,"Lot de 3 haies aluminium return Casal Sport, un outil idéal pour l'entraînement des scolaires en salle ou...","Son système de redressement de la haie permet un gain de temps pour enchaîner les courses. | Entièrement en aluminium, la haie est légère. | Outil idéal pour l'entraînement des scolaires en salle ou en plein air. | Réglage très rapide des hauteurs : de 40 à 60 cm. | Largeur 75 cm."
Clé de serrage pour pointes athlétisme - 2 pans,"7,00 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29280490.jpg?frz-v=95,Matériel de Course à pied,Accessoires Course Athlétisme,Clé pour visser et dévisser les pointes de vos chaussures d'athlétisme rapidement et simplement,Facilite la mise en place et le retrait des pointes d'athlétisme | Acier. | 2 pans.
Lot de 6 témoins relais aluminium IAAF,"41,25 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29238039.jpg?frz-v=95,Matériel de Course à pied,Accessoires Course Athlétisme,6 bâtons de relais en aluminium anodisé. Idéal pour la course de relais en compétition.,"6 témoins de relais, en aluminium anodisé, offrant une augmentation de la résistance à la corrosion et à l'usure. | Diamètre et longueur réglementaires : Longueur : 30cm. Diamètre : 34mm | Coloris assortis. | Conforme aux normes IAAF"
Haies aluminium return mini 55-85cm,"108,00 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29298952.jpg?frz-v=95,Matériel de Course à pied,Haies Athlétisme,"Lot de 3 haies aluminium return Casal Sport, un outil idéal pour l'entraînement des scolaires en salle ou...","Son système de redressement de la haie permet un gain de temps pour enchaîner les courses. | Entièrement en aluminium, la haie est légère. | Outil idéal pour l'entraînement des scolaires en salle ou en plein air. | Réglage très rapide des hauteurs : de 55 à 85 cm. | Largeur 84 cm."
Piquet plastique standard 138 cm blanc 12 illets,"72,75 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29302551.jpg?frz-v=95,Matériel de Course à pied,Accessoires Course Athlétisme,10 piquets en PVC pour rubalise de délimitation. Ils s'enfoncent facilement dans tous les sols mous grâce...,"Piquets en PVC, traités anti-UV, résistant à toutes les intempéries. | Poussoir à pied facilitant la mise en place dans tous types de terrain. | 3 niveaux : 65 cm - 100 cm - 135 cm. | Hauteur totale : 138 cm"
Starting block standard,"50,00 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29294565.jpg?frz-v=95,Matériel de Course à pied,Starting Blocks Athlétisme,Modèle idéal en milieu scolaire utilisable sur tous types de terrains (pistes synthétiques et cendrées)...,Modèle idéal en milieu scolaire utilisable sur tous types de terrains (pistes synthétiques et cendrées). | Avec rail central à 13 positions (réglage en écart de pieds de 0 à 50 cm). | Patins interchangeables (hauteur 13 cm) recouverts de caoutchouc antidérapant. | Excellent rapport qualité/prix.
Claquoir de départ cible bicolore,"56,50 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29249149.jpg?frz-v=95,Matériel de Course à pied,Accessoires Course Athlétisme,"Claquoir de départ en bois, idéal pour annoncer les départs de courses ou de matches.",Claquoir de départ en bois avec très belle finition. | Sa grande cible bicolore noir et blanche est visible de loin. | Claquoir très solide avec un bruit très puissant.
Latte d'entrainement,"40,38 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29294585.jpg?frz-v=95,Matériel de Course à pied,Accessoires Course Athlétisme,Lot de 10 lattes idéal pour l'entrainement de la motricité.,"10 lattes en PVC souples et légères de jalonnage pour s'initier aux règles, aux gestes et aux mouvements des différents sports. | Pratique sportive en tout sécurité et confort. | Idéal pour les séances rythmées et fractionnées. | 50 cm x 5 cm. | Coloris : Blanc avec ligne bleue sur l'une des faces."
Starting block en mousse Sarneige Gym,"62,10 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29298926.jpg?frz-v=95,Matériel de Course à pied,Starting Blocks Athlétisme,"Starting block en mousse, idéal en milieu scolaire. Utilisable aussi bien par les gauchers que les droitiers.","Modèle idéal en milieu scolaire, très léger, sans danger et facile d'utilisation. | Utilisable aussi bien par les gauchers que par les droitiers. | Starting-block est composé de 3 blocs en mousse. | Écartement réglable. | Utilisation intérieure. | Pour le maintien au sol, lors du départ, un élève doit s'asseoir par terre , derrière le starting-block, jambes droites et maintenir le starting-block au moment de l'impulsion. | Dimensions : | Partie centrale , 750 x 100 x 110mm | Pied avant : 240/120 x 100 x 150mm | pied arrière : 330/220 x 100 x 150mm"
Haies aluminium return mini 65-107 cm,"120,00 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29298953.jpg?frz-v=95,Matériel de Course à pied,Haies Athlétisme,"Lot de 3 haies aluminium return Casal Sport, un outil idéal pour l'entraînement des scolaires en salle ou...","Son système de redressement de la haie permet un gain de temps pour enchaîner les courses. | Entièrement en aluminium, la haie est légère. | Outil idéal pour l'entraînement des scolaires en salle ou en plein air. | Réglage très rapide des hauteurs : de 65 à 107 cm. | Largeur 89 cm."
Haies athlétisme en bois BS TOYS,"38,49 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG93822635.jpg?frz-v=95,Matériel de Course à pied,Haies Athlétisme,"Mini-haies en bois, idéales pour l'apprentissage de la course de haies",Améliorez votre vitesse et votre souplesse avec ces haies réglables | Augmentez la hauteur à chaque passage pour progresser à votre rythme | Développez votre motricité globale tout en travaillant votre agilité et votre coordination | Profitez d un entraînement en plein air pour allier sport et plaisir | Gagnez en souplesse grâce à des exercices variés et ludiques
Haies métalliques réglables,"150,40 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29457839.jpg?frz-v=95,Matériel de Course à pied,Haies Athlétisme,Ensemble 3 haies métalliques ajustables pour entraînement scolaire en intérieur ou extérieur. Pratique...,"Matériel très simple d'utilisation. | Structure en acier pour une meilleure résistance à la corrosion. | Hauteurs réglables par vis : 30 - 40 - 50 cm. | Largeur : 1,10 m."
Mini-haie EPS Dima - Lot de 6,"306,50 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29237895.jpg?frz-v=95,Matériel de Course à pied,Haies Athlétisme,"Lot de minis-haies Dima EPS, idéal pour l'initiation et le travail de course. Très sécurisante en primaire.",Véritable haie pour le milieu scolaire et notamment pour les écoles primaires. | La haie est munie d'une latte en PVC posée sur 2 supports sécurisants en caoutchouc et d'embouts de protection en caoutchouc à chaque extrémités. | 4 réglages de hauteur possibles : de 0.28m à 0.45m. | Poids d'une haie : 3kg et | Largeur : 1 m. | Réglage en hauteur rapide et automatique par bille pression imperdable et invisible : 28 / 35 / 40 / 45 cm. | Une simple poussée ou traction sur le montant de la haie modifie la hauteur.
Haie d'athlétisme Internationale Peinte - Dima,"141,85 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG56265688.jpg?frz-v=95,Matériel de Course à pied,Haies Athlétisme,Haie d'athlétisme Internationale Peinte Dima idéale pour les courses de haies en compétition.,"La haie Internationale peinte est un modèle de compétition très apprecié. | En acier avec traitement peinture époxy. | Hauteur : 65 - 69 - 76 - 84 - 91 - 99 - 106 cm | Réglage instantané des hauteurs par système de bille et ressort. | Le contrepoids, galvanisé, se règle par simple poussée. | Réglementaire F.F.A. et certifiée World Athletics n° E-99-0086 | Extrémités des profilés protégées par des embouts caoutchouc. | Latte en PVC. | Fabriqué en France par Dima"
Haie d athlétisme - entraînement,"132,90 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29280525.jpg?frz-v=95,Matériel de Course à pied,Haies Athlétisme,Haie d'athlétisme idéale pour l'entraînement aux courses et toute autre discipline de l'athlétisme,"Haie athlétisme en acier 40x40mm parfaite pour l'entraînement. | Structure en acier plastifée pour une meilleure résistance à la corrosion. | Avec latte en bois. | Hauteur ajustable : de 0.76m à 1.06m. | Dimensions : largeur : 1,20 m, profondeur : 0,68 m."
Haie d athlétisme - compétition,"168,75 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29280526.jpg?frz-v=95,Matériel de Course à pied,Haies Athlétisme,Haie d athlétisme en PVC idéale pour les compétitions ou course de haies.,"Haie athlétisme en acier 50x50mm parfaite pour les compétitions. | Structure en acier pour une meilleure résistance à la corrosion. | Avec latte en PVC. | Hauteur ajustable : de 0.76m à 1.06m. | Dimensions : largeur : 1,20 m, profondeur : 0,68 m ou 0,72m."
Mini-haie EPS Dima - Lot de 3,"160,65 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29237938.jpg?frz-v=95,Matériel de Course à pied,Haies Athlétisme,"Lot de minis-haies Dima EPS, idéal pour l'initiation et le travail de course. Très sécurisante en primaire.",Véritable haie pour le milieu scolaire et notamment pour les écoles primaires. | La haie est munie d'une latte en PVC posée sur 2 supports sécurisants en caoutchouc et d'embouts de protection en caoutchouc à chaque extrémités. | 4 réglages de hauteur possibles : de 0.28m à 0.45m. | Poids d'une haie : 3kg et | Largeur : 1 m. | Réglage en hauteur rapide et automatique par bille pression imperdable et invisible : 28 / 35 / 40 / 45 cm. | Une simple poussée ou traction sur le montant de la haie modifie la hauteur.
Haie athlétisme en bois BS TOYS,"33,49 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG93822639.jpg?frz-v=95,Matériel de Course à pied,Haies Athlétisme,"Mini haie en bois, idéale pour l'initiation à la course de haie à l'école",Haie en bois idéale pour organiser des courses et défis entre joueurs | Ajustez la hauteur pour progresser et repousser vos limites | Encourage la prise de confiance et le dépassement de soi à chaque saut | Développement de la motricité globale | Activité ludique en plein air | Amélioration de la souplesse et de l agilité
